Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
TS 86 RG 3131,no,0,Yellow,31-10-2025,30-10-2030,Future Generali,Hyundai,ACTIVE,02-05-2023,TS,2006,commercial,20-02-2030
ML 17 WL 8475,yes,9,Blue,21-05-2030,19-11-2023,New India Assurance,Maruti Suzuki,ACTIVE,14-11-2017,ML,2008,commercial,20-11-2025
KA 68 WL 5502,yes,2,Blue,28-08-2027,08-06-2029,Reliance General,Tata Motors,ACTIVE,07-05-2010,KA,2009,personal,11-12-2029
UK 82 FL 1647,yes,2,Green,07-09-2030,16-02-2029,SBI General,Hyundai,ACTIVE,18-03-2022,UK,2007,commercial,26-11-2032
ML 32 DF 8875,no,0,Red,03-08-2031,01-06-2025,Reliance General,Hyundai,DEACTIVE,08-04-2014,ML,2012,personal,10-09-2026
PB 59 ZM 5694,yes,4,Black,14-05-2026,01-04-2029,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,28-11-2020,PB,2021,commercial,23-06-2032
MP 47 QS 8599,yes,10,Silver,24-09-2025,16-10-2024,Reliance General,Hyundai,DEACTIVE,20-08-2021,MP,2010,commercial,02-12-2025
KA 66 XD 8121,no,0,Blue,22-03-2030,07-10-2024,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,01-11-2017,KA,2022,personal,31-07-2030
AR 78 HK 6598,yes,3,White,14-07-2032,30-03-2032,HDFC ERGO,Tata Motors,ACTIVE,02-03-2010,AR,2002,commercial,16-09-2028
ML 50 CP 2167,no,0,Blue,24-01-2025,25-02-2030,United India Insurance,Hyundai,DEACTIVE,16-06-2014,ML,2007,commercial,25-03-2032
JK 71 FA 8128,no,0,Red,05-05-2028,25-09-2024,Future Generali,Maruti Suzuki,DEACTIVE,19-11-2010,JK,2011,commercial,18-02-2030
KA 34 UU 7603,no,0,Black,18-10-2025,11-09-2030,Reliance General,HERO MOTOCORP LTD,DEACTIVE,05-09-2015,KA,2022,commercial,08-04-2024
KL 92 VK 2680,yes,9,White,14-09-2032,10-06-2024,Oriental Insurance,Toyota,DEACTIVE,10-12-2012,KL,2007,personal,07-11-2032
MZ 36 LD 3695,no,0,Yellow,01-02-2027,28-05-2029,Oriental Insurance,Tata Motors,DEACTIVE,03-06-2013,MZ,2007,personal,05-03-2033
KL 23 NY 7451,yes,10,Red,20-09-2028,03-08-2024,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,02-06-2015,KL,2014,personal,15-06-2028
TS 33 OJ 3134,yes,2,Silver,06-03-2026,05-02-2027,Future Generali,Toyota,DEACTIVE,06-03-2010,TS,2012,personal,17-08-2030
KL 55 YW 8934,yes,8,Red,19-07-2024,30-12-2029,SBI General,Toyota,ACTIVE,21-01-2012,KL,2007,commercial,02-09-2030
BR 27 FU 5539,no,0,Black,16-03-2032,10-04-2030,Bajaj Allianz,Honda,ACTIVE,28-01-2021,BR,2012,personal,15-01-2027
UP 75 XT 7050,no,0,Black,13-12-2027,02-12-2025,Reliance General,Honda,ACTIVE,13-01-2020,UP,2001,personal,05-04-2027
TN 53 RK 5608,yes,6,Green,12-09-2027,21-11-2025,Reliance General,Maruti Suzuki,DEACTIVE,24-03-2018,TN,2012,commercial,21-02-2029
KA 60 CB 5976,yes,6,Silver,22-05-2031,19-11-2026,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,03-03-2021,KA,2012,personal,14-03-2032
HR 71 WD 2116,yes,6,White,09-04-2030,24-09-2030,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,03-12-2018,HR,2015,commercial,12-05-2028
JK 95 DD 5019,no,0,Red,05-10-2026,14-09-2032,ICICI LOMBARD,Hyundai,DEACTIVE,05-06-2012,JK,2018,commercial,31-12-2029
HR 82 JB 3873,no,0,Black,19-02-2031,23-02-2029,ICICI LOMBARD,Honda,DEACTIVE,01-08-2014,HR,2018,commercial,14-09-2024
NL 70 YL 6234,no,0,Yellow,01-07-2032,26-03-2033,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,15-05-2021,NL,2020,commercial,07-04-2025
CG 10 SJ 4478,no,0,Yellow,27-09-2026,25-10-2028,United India Insurance,Maruti Suzuki,DEACTIVE,02-01-2023,CG,2002,personal,30-07-2032
JK 66 GU 2605,no,0,Silver,23-10-2027,17-02-2027,Future Generali,Honda,ACTIVE,10-09-2014,JK,2014,personal,23-09-2025
OD 36 OX 4759,yes,6,Red,31-01-2024,03-12-2024,Tata AIG,Honda,ACTIVE,19-04-2023,OD,2002,commercial,09-06-2025
AR 75 NH 7533,no,0,Red,03-10-2027,29-08-2023,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,26-01-2013,AR,2013,personal,02-09-2023
HR 60 OW 1592,no,0,White,01-02-2028,15-03-2028,SBI General,Tata Motors,DEACTIVE,04-11-2019,HR,2006,personal,26-08-2029
OD 49 MF 1952,no,0,White,26-02-2028,19-04-2031,United India Insurance,Toyota,ACTIVE,11-04-2010,OD,2008,personal,02-07-2025
CG 70 BD 6382,no,0,White,26-01-2026,04-05-2029,Bajaj Allianz,Tata Motors,DEACTIVE,28-05-2018,CG,2005,commercial,27-04-2027
TR 45 JS 9413,yes,5,Red,08-07-2025,22-09-2028,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,25-10-2014,TR,2007,commercial,07-10-2026
OD 32 DV 1542,no,0,Black,29-04-2029,03-07-2026,SBI General,Hyundai,ACTIVE,29-01-2015,OD,2005,personal,11-10-2029
BR 74 XN 4858,yes,9,Silver,21-12-2023,19-08-2028,Bajaj Allianz,Toyota,DEACTIVE,09-06-2016,BR,2013,personal,22-06-2033
GJ 38 ME 2467,no,0,Red,06-12-2027,11-06-2032,Tata AIG,Hyundai,ACTIVE,06-12-2019,GJ,2012,personal,16-02-2029
WB 49 MW 3002,yes,3,Blue,27-06-2028,10-03-2028,Tata AIG,Honda,ACTIVE,12-06-2021,WB,2012,commercial,05-12-2029
ML 42 DM 2806,no,0,Silver,11-11-2023,14-03-2027,Oriental Insurance,Hyundai,ACTIVE,26-07-2010,ML,2015,personal,06-12-2032
AP 34 ZQ 9509,no,0,Silver,29-10-2026,11-02-2033,Reliance General,Honda,ACTIVE,18-03-2014,AP,2002,commercial,17-01-2028
CG 95 FQ 4349,yes,7,Blue,04-04-2028,30-06-2030,SBI General,Tata Motors,ACTIVE,25-10-2012,CG,2018,personal,01-11-2024
JH 73 TZ 9671,yes,7,Yellow,03-05-2028,10-07-2026,ICICI LOMBARD,HERO MOTOCORP LTD,ACTIVE,16-03-2015,JH,2022,commercial,24-01-2031
JH 96 OL 5541,yes,4,White,08-04-2026,03-08-2028,Tata AIG,Toyota,ACTIVE,09-09-2016,JH,2004,commercial,29-06-2030
TS 57 VU 6515,no,0,Green,12-01-2027,10-02-2026,Oriental Insurance,Tata Motors,DEACTIVE,11-05-2019,TS,2009,commercial,02-11-2027
SK 28 EG 3422,no,0,Blue,10-08-2028,27-07-2032,HDFC ERGO,Toyota,DEACTIVE,10-02-2015,SK,2020,personal,04-08-2023
HP 26 CQ 9499,yes,4,Yellow,03-06-2030,12-06-2033,ICICI LOMBARD,Toyota,ACTIVE,08-04-2012,HP,2022,personal,05-01-2030
PB 61 JY 1102,no,0,Black,28-10-2026,26-09-2027,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,25-06-2011,PB,2001,commercial,13-06-2028
TR 36 BO 6359,yes,5,Blue,22-05-2033,30-10-2030,HDFC ERGO,Toyota,ACTIVE,26-09-2022,TR,2006,commercial,19-04-2024
JH 55 JF 3323,no,0,Blue,08-03-2026,07-03-2031,SBI General,Maruti Suzuki,DEACTIVE,09-12-2019,JH,2009,personal,06-11-2030
MP 53 FN 2225,no,0,Yellow,17-06-2031,06-06-2025,New India Assurance,Tata Motors,DEACTIVE,01-12-2017,MP,2020,personal,14-09-2024
KL 63 CD 4741,no,0,Blue,04-08-2031,27-10-2031,Future Generali,Tata Motors,DEACTIVE,03-05-2011,KL,2006,commercial,18-09-2031
KL 91 WI 6723,no,0,Black,31-01-2025,28-09-2032,HDFC ERGO,Maruti Suzuki,DEACTIVE,05-02-2016,KL,2022,personal,20-11-2028
JH 89 PB 7179,no,0,Silver,10-01-2028,30-05-2026,SBI General,Honda,ACTIVE,08-10-2019,JH,2023,personal,30-05-2032
AR 77 QC 1544,no,0,Red,22-10-2030,20-07-2026,Reliance General,Maruti Suzuki,ACTIVE,08-01-2016,AR,2018,commercial,13-03-2027
PB 54 IX 6271,yes,5,Green,26-03-2027,19-09-2031,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,27-05-2023,PB,2023,commercial,21-12-2030
UP 93 HR 7375,yes,7,Green,29-03-2032,08-07-2027,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,23-01-2021,UP,2005,commercial,06-07-2026
MN 12 BZ 9609,yes,3,Black,15-12-2027,10-01-2033,Bajaj Allianz,Hyundai,DEACTIVE,27-02-2020,MN,2000,personal,22-09-2026
TN 30 ST 5900,no,0,Black,16-07-2030,17-03-2028,Bajaj Allianz,Maruti Suzuki,DEACTIVE,28-06-2019,TN,2003,personal,24-09-2028
CG 47 JQ 6773,no,0,White,09-03-2029,16-03-2027,New India Assurance,Tata Motors,DEACTIVE,24-12-2012,CG,2016,personal,17-05-2025
KA 20 PO 6421,yes,8,Yellow,04-07-2033,19-12-2031,Reliance General,Toyota,DEACTIVE,21-09-2013,KA,2019,commercial,14-03-2030
KL 66 WO 6384,no,0,Green,21-11-2031,07-03-2029,Future Generali,HERO MOTOCORP LTD,ACTIVE,27-03-2012,KL,2007,commercial,10-02-2031
HR 39 GH 4301,no,0,Yellow,24-11-2031,23-04-2032,Oriental Insurance,Maruti Suzuki,ACTIVE,11-08-2018,HR,2014,commercial,13-04-2025
BR 55 FJ 5179,no,0,Blue,09-02-2027,19-10-2026,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,07-07-2017,BR,2001,commercial,13-07-2031
UK 71 ZW 3682,no,0,Silver,25-10-2027,31-08-2028,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,25-08-2019,UK,2001,personal,24-09-2024
UP 66 IR 2940,no,0,Black,19-12-2030,25-11-2024,SBI General,Honda,DEACTIVE,22-10-2022,UP,2000,commercial,31-03-2027
RJ 60 BH 4132,no,0,Red,09-07-2032,07-07-2031,New India Assurance,Maruti Suzuki,ACTIVE,05-05-2023,RJ,2006,personal,31-01-2028
ML 72 EB 8607,no,0,Silver,31-05-2024,11-06-2025,Tata AIG,Maruti Suzuki,DEACTIVE,23-11-2013,ML,2014,personal,29-03-2026
KA 89 GS 6723,yes,8,Blue,04-10-2025,05-04-2033,Reliance General,HERO MOTOCORP LTD,ACTIVE,22-12-2012,KA,2017,commercial,20-07-2028
KL 21 HJ 5448,yes,7,Yellow,14-12-2027,05-09-2032,New India Assurance,Toyota,DEACTIVE,25-09-2021,KL,2011,personal,29-05-2025
CG 13 UB 5863,yes,1,Red,27-05-2026,16-02-2027,Tata AIG,HERO MOTOCORP LTD,ACTIVE,22-06-2011,CG,2011,commercial,17-01-2027
UK 61 AB 5098,no,0,Silver,13-07-2025,31-10-2029,Tata AIG,Maruti Suzuki,ACTIVE,07-09-2010,UK,2014,commercial,23-06-2029
TN 78 EI 3081,no,0,Blue,30-01-2024,05-12-2030,Future Generali,HERO MOTOCORP LTD,ACTIVE,06-10-2012,TN,2019,personal,15-01-2025
AS 49 HP 2997,yes,4,Blue,25-10-2030,22-01-2029,United India Insurance,Honda,ACTIVE,30-11-2015,AS,2022,personal,11-11-2026
TR 89 MQ 8302,yes,6,Yellow,30-03-2031,19-03-2033,Bajaj Allianz,Hyundai,DEACTIVE,23-03-2014,TR,2020,commercial,20-02-2024
SK 47 XH 7474,yes,7,Yellow,13-03-2027,08-10-2027,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,25-08-2019,SK,2004,personal,27-12-2032
GA 94 UE 7611,no,0,Blue,13-04-2033,02-12-2024,Reliance General,Toyota,DEACTIVE,21-09-2017,GA,2022,commercial,11-03-2030
CG 34 TV 3507,yes,7,Green,27-03-2031,12-01-2031,Reliance General,Honda,DEACTIVE,23-09-2013,CG,2019,commercial,01-11-2027
MZ 42 BA 5023,no,0,Green,19-01-2033,24-12-2029,New India Assurance,Toyota,ACTIVE,21-05-2021,MZ,2014,commercial,26-06-2024
SK 21 PR 6132,no,0,Silver,03-07-2030,16-07-2029,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,24-07-2017,SK,2018,personal,17-06-2026
NL 74 MJ 6326,yes,8,Yellow,22-08-2031,22-09-2029,HDFC ERGO,Tata Motors,DEACTIVE,16-12-2016,NL,2014,personal,24-11-2031
TR 36 KB 4483,yes,7,Black,16-06-2026,02-08-2025,Bajaj Allianz,Toyota,DEACTIVE,02-01-2011,TR,2005,commercial,23-11-2031
TS 81 EP 9567,no,0,Black,04-08-2026,29-12-2025,New India Assurance,Hyundai,DEACTIVE,11-06-2023,TS,2009,personal,11-01-2027
JK 61 GH 6705,no,0,Black,14-11-2032,05-04-2028,New India Assurance,HERO MOTOCORP LTD,ACTIVE,15-05-2010,JK,2002,commercial,21-08-2030
AP 75 PH 8425,yes,9,Red,29-12-2032,19-05-2033,ICICI LOMBARD,Honda,DEACTIVE,28-11-2012,AP,2012,personal,13-06-2031
WB 29 TL 3200,yes,4,Green,03-10-2026,10-01-2033,Future Generali,Maruti Suzuki,DEACTIVE,02-12-2022,WB,2019,commercial,19-07-2024
RJ 86 EW 4986,no,0,Silver,08-01-2033,03-04-2031,New India Assurance,Hyundai,ACTIVE,18-10-2011,RJ,2008,commercial,08-05-2029
TN 24 QM 7476,yes,1,Black,02-01-2028,29-03-2032,Oriental Insurance,Toyota,ACTIVE,27-10-2012,TN,2017,personal,02-03-2030
UK 94 KC 9570,no,0,Red,02-04-2027,23-11-2024,Future Generali,Toyota,ACTIVE,23-03-2012,UK,2012,personal,15-11-2032
UK 14 MX 9628,no,0,Yellow,10-04-2028,14-02-2024,SBI General,Maruti Suzuki,ACTIVE,02-02-2020,UK,2010,personal,13-10-2024
TN 40 SY 1263,no,0,Blue,10-12-2024,23-10-2031,SBI General,Toyota,ACTIVE,29-08-2014,TN,2006,personal,28-09-2030
KL 18 NM 7956,no,0,Silver,17-12-2030,21-10-2023,Bajaj Allianz,Honda,DEACTIVE,02-06-2020,KL,2009,personal,23-05-2025
TR 12 RG 1635,no,0,White,02-06-2025,24-09-2032,Bajaj Allianz,Toyota,ACTIVE,17-11-2010,TR,2011,personal,22-05-2032
HP 54 NZ 4367,yes,4,Black,22-06-2026,13-12-2023,Oriental Insurance,Toyota,ACTIVE,21-02-2014,HP,2011,commercial,02-05-2025
MN 35 KU 1657,yes,2,White,01-05-2026,08-07-2033,Reliance General,HERO MOTOCORP LTD,ACTIVE,22-04-2019,MN,2006,commercial,29-08-2023
KL 48 EA 9044,yes,7,Black,02-01-2032,08-07-2030,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,14-11-2013,KL,2021,personal,27-01-2026
HP 42 GP 6283,no,0,Yellow,08-07-2027,29-02-2024,ICICI LOMBARD,Honda,ACTIVE,20-08-2022,HP,2017,commercial,04-07-2033
UP 66 KR 5919,yes,8,Yellow,17-05-2024,21-07-2028,Reliance General,Toyota,DEACTIVE,05-01-2023,UP,2007,commercial,16-11-2028
MZ 98 KL 9956,no,0,Blue,27-02-2026,25-09-2025,Tata AIG,Hyundai,ACTIVE,18-12-2022,MZ,2014,commercial,05-03-2024
AR 92 VS 5756,no,0,Black,15-08-2024,16-01-2026,ICICI LOMBARD,Toyota,ACTIVE,17-12-2013,AR,2016,personal,17-01-2031
BR 26 JU 4152,no,0,Yellow,21-09-2029,02-12-2023,Future Generali,Maruti Suzuki,DEACTIVE,11-06-2010,BR,2008,personal,20-11-2024
TR 73 TJ 8948,yes,8,Silver,05-10-2028,07-02-2029,United India Insurance,Toyota,ACTIVE,21-07-2017,TR,2022,personal,23-04-2026
GJ 45 TI 4125,yes,8,Yellow,06-07-2030,07-12-2031,Future Generali,Honda,DEACTIVE,12-04-2011,GJ,2001,personal,22-09-2024
PB 33 JU 1795,yes,2,Black,23-06-2026,04-05-2032,United India Insurance,Toyota,ACTIVE,09-09-2014,PB,2001,commercial,09-12-2025
OD 56 JZ 9696,no,0,Green,18-10-2026,16-01-2024,Bajaj Allianz,Toyota,ACTIVE,27-09-2014,OD,2016,commercial,16-03-2032
KA 52 PV 2548,yes,5,Red,09-08-2027,24-01-2033,HDFC ERGO,Honda,DEACTIVE,17-02-2018,KA,2016,commercial,14-10-2028
KA 27 BU 2831,no,0,Red,19-10-2024,14-06-2030,United India Insurance,Honda,DEACTIVE,05-08-2010,KA,2013,commercial,22-01-2027
GJ 30 ZS 9749,yes,7,Silver,23-03-2025,05-07-2032,United India Insurance,Hyundai,DEACTIVE,16-02-2023,GJ,2001,commercial,07-11-2032
GA 40 BR 3176,yes,8,Silver,05-10-2024,16-07-2031,SBI General,Toyota,ACTIVE,24-04-2011,GA,2005,personal,04-07-2024
MN 43 YH 4864,no,0,Blue,11-12-2029,29-03-2029,SBI General,Tata Motors,DEACTIVE,16-02-2014,MN,2008,commercial,23-08-2026
HP 21 UV 5577,yes,1,White,28-03-2032,03-03-2032,Tata AIG,Honda,ACTIVE,19-12-2014,HP,2001,personal,25-08-2023
GA 67 XL 4696,yes,5,Red,26-02-2031,21-07-2033,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,11-06-2017,GA,2000,personal,04-10-2029
GA 30 UA 2556,no,0,Red,19-05-2026,22-03-2024,HDFC ERGO,Tata Motors,DEACTIVE,28-08-2018,GA,2022,commercial,09-09-2029
AR 89 RL 4064,no,0,White,18-06-2027,03-07-2030,Oriental Insurance,Honda,ACTIVE,16-09-2022,AR,2012,personal,01-11-2023
CG 68 AR 2604,no,0,Red,07-10-2030,06-11-2027,United India Insurance,Hyundai,ACTIVE,08-10-2014,CG,2011,commercial,07-09-2024
KA 52 CT 4600,no,0,White,28-02-2029,16-09-2024,ICICI LOMBARD,Tata Motors,ACTIVE,15-12-2014,KA,2005,commercial,12-08-2030
TN 21 PS 9217,yes,3,Green,08-12-2032,02-03-2032,New India Assurance,Tata Motors,ACTIVE,12-03-2013,TN,2010,personal,30-11-2023
HR 69 QY 1716,no,0,Silver,06-11-2031,25-12-2024,SBI General,Tata Motors,ACTIVE,25-01-2019,HR,2006,commercial,31-10-2030
HP 22 SW 5642,no,0,White,06-10-2024,22-10-2026,ICICI LOMBARD,Toyota,DEACTIVE,21-06-2019,HP,2013,personal,24-05-2027
AR 71 WA 5776,no,0,Silver,19-04-2033,23-01-2025,Bajaj Allianz,Toyota,ACTIVE,25-02-2011,AR,2008,personal,27-09-2023
KA 25 QI 7604,no,0,White,09-01-2025,14-01-2024,New India Assurance,Honda,ACTIVE,23-03-2022,KA,2012,personal,12-08-2030
SK 57 MS 4536,yes,3,Yellow,24-09-2030,31-10-2028,Bajaj Allianz,Tata Motors,ACTIVE,01-10-2014,SK,2002,personal,04-02-2028
TR 89 WO 4270,yes,5,Black,21-03-2033,09-04-2025,Bajaj Allianz,Hyundai,ACTIVE,17-03-2017,TR,2007,commercial,13-07-2025
OD 72 LU 7168,yes,2,Red,06-06-2026,05-02-2031,Reliance General,Hyundai,ACTIVE,11-01-2014,OD,2012,commercial,09-10-2028
UP 68 HU 6387,yes,9,Blue,11-06-2026,07-04-2033,Reliance General,Hyundai,DEACTIVE,08-05-2012,UP,2014,personal,05-03-2033
TR 85 HA 3376,yes,2,Yellow,11-05-2033,30-10-2028,ICICI LOMBARD,Hyundai,ACTIVE,01-04-2016,TR,2014,personal,15-05-2031
TS 62 AK 5108,no,0,Black,16-07-2031,06-10-2031,HDFC ERGO,Honda,DEACTIVE,26-07-2017,TS,2004,personal,04-02-2025
RJ 48 SN 9070,yes,5,Silver,03-12-2030,14-10-2030,Tata AIG,Tata Motors,ACTIVE,05-11-2015,RJ,2013,commercial,13-02-2026
RJ 43 UN 8034,yes,4,Black,04-11-2030,17-02-2028,New India Assurance,Tata Motors,ACTIVE,11-08-2019,RJ,2022,commercial,27-04-2025
TR 33 IB 5240,no,0,Green,22-02-2031,21-02-2026,SBI General,HERO MOTOCORP LTD,ACTIVE,25-09-2017,TR,2008,commercial,01-09-2023
MZ 83 MM 5308,yes,3,White,13-03-2026,03-09-2023,Oriental Insurance,Hyundai,ACTIVE,06-01-2020,MZ,2006,commercial,12-11-2024
UK 65 JQ 2940,yes,4,White,04-10-2031,15-06-2025,HDFC ERGO,Tata Motors,ACTIVE,20-04-2023,UK,2007,personal,14-04-2027
ML 99 IU 4391,yes,10,White,04-05-2030,16-08-2028,Tata AIG,Hyundai,ACTIVE,05-05-2011,ML,2003,personal,17-11-2030
OD 25 WR 6575,yes,2,Green,18-05-2031,03-05-2026,Future Generali,Tata Motors,ACTIVE,26-05-2014,OD,2004,personal,23-08-2025
TN 66 SJ 1477,yes,7,Blue,06-02-2029,07-04-2030,ICICI LOMBARD,Honda,ACTIVE,16-10-2019,TN,2000,personal,14-07-2028
JK 33 CV 7439,no,0,White,06-11-2027,22-11-2027,New India Assurance,Maruti Suzuki,ACTIVE,22-09-2014,JK,2000,personal,22-07-2029
GJ 66 GS 3208,no,0,White,29-11-2024,03-05-2030,United India Insurance,Maruti Suzuki,DEACTIVE,21-11-2012,GJ,2006,commercial,19-01-2025
TR 38 MO 6490,no,0,Blue,13-04-2029,02-10-2024,Tata AIG,Maruti Suzuki,DEACTIVE,11-03-2021,TR,2000,personal,19-02-2029
MZ 30 CL 2375,yes,9,Silver,07-06-2029,05-08-2031,New India Assurance,Toyota,DEACTIVE,23-11-2010,MZ,2016,personal,30-07-2032
JH 73 JU 8534,yes,1,Red,06-06-2024,04-02-2025,Bajaj Allianz,Tata Motors,ACTIVE,16-03-2022,JH,2008,personal,14-04-2032
TR 74 QH 5151,no,0,White,15-05-2032,31-03-2029,Oriental Insurance,Honda,ACTIVE,17-12-2015,TR,2002,commercial,27-02-2031
UP 72 ZZ 1302,yes,8,White,23-03-2027,10-09-2027,United India Insurance,Hyundai,ACTIVE,26-08-2021,UP,2022,personal,21-10-2032
OD 58 NM 8859,yes,1,Blue,04-10-2030,16-01-2028,Reliance General,HERO MOTOCORP LTD,DEACTIVE,20-11-2012,OD,2008,personal,12-01-2033
NL 64 BI 9301,no,0,Black,07-11-2024,06-12-2023,ICICI LOMBARD,Tata Motors,DEACTIVE,16-08-2010,NL,2021,personal,16-04-2031
AP 56 XY 6212,no,0,Green,20-04-2025,15-11-2029,SBI General,Toyota,DEACTIVE,27-11-2014,AP,2000,personal,06-01-2027
TR 75 BO 8177,no,0,Silver,30-03-2028,27-07-2025,Reliance General,Maruti Suzuki,ACTIVE,30-03-2020,TR,2018,commercial,17-03-2025
HP 31 PA 4438,no,0,White,11-01-2026,29-06-2027,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,28-04-2021,HP,2003,commercial,19-01-2025
SK 59 QK 4294,yes,6,Silver,04-11-2023,15-02-2025,Reliance General,Maruti Suzuki,DEACTIVE,24-03-2018,SK,2006,commercial,08-02-2028
NL 15 HB 9864,yes,8,Silver,09-07-2026,08-03-2025,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,16-03-2015,NL,2018,commercial,18-05-2030
JH 84 PI 5317,no,0,Green,28-04-2028,03-02-2030,HDFC ERGO,Maruti Suzuki,DEACTIVE,11-09-2022,JH,2007,personal,08-10-2027
RJ 32 PW 8277,no,0,White,09-08-2024,19-03-2025,Reliance General,Maruti Suzuki,DEACTIVE,08-02-2012,RJ,2021,personal,18-02-2029
MZ 66 YU 1977,yes,5,Blue,12-12-2026,26-09-2024,Future Generali,Toyota,DEACTIVE,04-11-2018,MZ,2021,personal,14-04-2025
PB 83 OB 8149,no,0,Silver,15-10-2026,03-03-2028,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,01-08-2013,PB,2012,personal,27-07-2030
UK 38 CA 3865,yes,6,Red,16-04-2025,12-08-2029,Bajaj Allianz,Hyundai,ACTIVE,29-11-2015,UK,2016,commercial,01-02-2026
WB 78 VF 7073,yes,7,Silver,26-01-2027,06-07-2029,United India Insurance,Maruti Suzuki,ACTIVE,17-06-2023,WB,2023,personal,28-12-2032
WB 38 QT 1870,no,0,Red,08-07-2031,10-11-2030,Tata AIG,Toyota,DEACTIVE,31-07-2014,WB,2003,personal,15-03-2033
TR 68 AX 9936,no,0,Green,17-07-2031,14-08-2025,SBI General,HERO MOTOCORP LTD,ACTIVE,29-08-2013,TR,2005,commercial,08-02-2025
UK 63 SQ 5672,yes,3,White,28-11-2032,12-07-2027,Future Generali,Maruti Suzuki,ACTIVE,14-04-2021,UK,2002,commercial,30-07-2029
ML 62 EQ 3412,yes,5,White,13-05-2031,19-12-2025,New India Assurance,Toyota,DEACTIVE,04-09-2014,ML,2015,commercial,21-09-2026
UP 31 ED 4355,yes,4,Silver,24-04-2028,28-06-2032,Reliance General,Honda,DEACTIVE,22-12-2022,UP,2016,commercial,14-06-2029
AS 86 UU 2186,yes,8,Black,15-06-2024,28-08-2025,United India Insurance,HERO MOTOCORP LTD,ACTIVE,04-12-2019,AS,2011,commercial,17-04-2027
RJ 64 FY 8893,yes,9,Blue,12-05-2026,26-12-2024,Tata AIG,Toyota,DEACTIVE,30-03-2016,RJ,2011,commercial,02-01-2027
RJ 70 NL 2631,no,0,Yellow,22-07-2024,08-02-2030,SBI General,Tata Motors,ACTIVE,11-04-2016,RJ,2008,personal,26-10-2030
AS 31 QX 1091,no,0,Black,18-06-2024,25-02-2032,SBI General,Hyundai,DEACTIVE,29-12-2018,AS,2016,personal,10-07-2032
OD 23 BQ 7203,no,0,Blue,20-04-2032,02-03-2025,Reliance General,Toyota,ACTIVE,18-07-2017,OD,2006,personal,29-11-2026
HR 94 PC 8219,no,0,Silver,20-08-2026,08-04-2025,Reliance General,HERO MOTOCORP LTD,ACTIVE,27-08-2015,HR,2002,commercial,23-03-2026
WB 78 FP 6221,yes,2,White,23-07-2026,19-02-2033,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,12-11-2022,WB,2016,commercial,15-02-2032
UK 52 AJ 4743,yes,7,Blue,08-03-2028,22-02-2033,Reliance General,Hyundai,ACTIVE,24-06-2015,UK,2017,personal,28-03-2028
UK 82 OJ 9366,no,0,Black,19-08-2031,23-01-2026,United India Insurance,Toyota,DEACTIVE,07-08-2015,UK,2002,personal,17-10-2030
AP 22 RE 2384,no,0,Red,21-04-2027,09-03-2026,Future Generali,Toyota,DEACTIVE,07-07-2017,AP,2020,personal,06-04-2033
SK 58 BR 7290,no,0,Silver,02-08-2029,08-05-2025,SBI General,Toyota,ACTIVE,25-03-2014,SK,2001,personal,18-04-2032
JK 17 HP 4651,no,0,Black,03-01-2032,04-07-2024,SBI General,Maruti Suzuki,DEACTIVE,24-07-2017,JK,2010,commercial,02-05-2031
MZ 73 VH 1158,no,0,Yellow,08-04-2031,22-08-2030,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,06-10-2019,MZ,2014,commercial,05-03-2029
JH 66 ZT 7642,no,0,Red,25-11-2025,12-12-2029,Future Generali,Toyota,DEACTIVE,29-04-2021,JH,2004,commercial,11-04-2027
AS 97 AF 5610,yes,8,Green,04-08-2025,12-01-2024,Tata AIG,Honda,ACTIVE,31-05-2018,AS,2016,commercial,01-04-2033
SK 98 WP 6881,yes,1,Blue,21-12-2028,12-11-2024,Tata AIG,Toyota,ACTIVE,10-05-2014,SK,2000,commercial,17-05-2025
